Country,Total_Cases,New Cases,Total_Deaths,New Deaths,Total Recovered,Active Cases,Serios/Critical,Tot cases/1M Pop,Deaths/1M
World,1196944,+80282,64577,+5403,246110,886257,42110,154,8.3
USA,308124,+30963,8392,+988,14686,285046,8113,931,25
Spain,126168,+6969,11947,+749,34219,80002,6416,2699,256
Italy,124632,+4805,15362,+681,20996,88274,3994,2061,254
Germany,96092,+4933,1444,+169,26400,68248,3936,1147,17
France,89953,+7788,7560,+1053,15438,66955,6838,1378,116
Iran,55743,+2560,3452,+158,19736,32555,4103,664,41
UK,41903,+3735,4313,+708,135,37455,163,617,64
Turkey,23934,+3013,501,+76,786,22647,1311,284,6
Switzerland,20505,+899,666,+75,6415,13424,391,2369,77
Belgium,18431,+1661,1283,+140,3247,13901,1245,1590,111
Netherlands,16627,+904,1651,+164,250,14726,1360,970,96
Canada,13912,+1537,231,+23,2595,11086,120,369,6
Austria,11781,+257,186,+18,2507,9088,245,1308,21
Portugal,10524,+638,266,+20,75,10183,251,1032,26
Brazil,10278,+1084,431,+68,127,9720,296,48,2
S. Korea,10156,+94,177,+3,6325,3654,55,198,3
Israel,7851,+423,44,+4,427,7380,115,907,5
Sweden,6443,+312,373,+15,205,5865,379,638,37
Norway,5550,+180,62,+3,32,5456,98,1024,11
Australia,5550,+96,30,+2,585,4935,85,218,1
Russia,4731,+582,43,+9,333,4355,8,32,0.3
Ireland,4604,+331,137,+17,25,4442,148,932,28
Czechia,4362,+172,59,+6,78,4225,87,407,6
Chile,4161,+424,27,+5,528,3606,38,218,1
Denmark,4077,+320,161,+22,1283,2633,142,704,28
Poland,3627,+244,79,+8,116,3432,50,96,2
Romania,3613,+430,146,+13,329,3138,119,188,8
Malaysia,3483,+150,57,+4,915,2511,99,108,2
Ecuador,3465,+97,172,+27,100,3193,100,196,10
Philippines,3094,+76,144,+8,57,2893,1,28,1
India,3082,+23,86,,229,2767,,2,0.06
Japan,2935,,69,,514,2352,60,23,0.5
Pakistan,2818,+132,41,+1,131,2646,13,13,0.2
Luxembourg,2729,+117,31,,500,2198,35,4360,50
Saudi Arabia,2179,+140,29,+4,420,1730,41,63,0.8
Indonesia,2092,+106,191,+10,150,1751,,8,0.7
Thailand,2067,+89,20,+1,674,1373,23,30,0.3
Finland,1882,+267,25,+5,300,1557,72,340,5
Peru,1746,+151,73,+12,914,759,88,53,2
Mexico,1688,+178,60,+10,633,995,1,13,0.5
Greece,1673,+60,68,+5,78,1527,92,161,7
Panama,1673,,41,,13,1619,50,388,10
Serbia,1624,+148,44,+5,54,1526,89,186,5
South Africa,1585,+80,9,,95,1481,7,27,0.2
UAE,1505,+241,10,+1,125,1370,2,152,1
Dominican Republic,1488,,68,,16,1404,147,137,6
Iceland,1417,+53,4,,396,1017,12,4152,12
Colombia,1406,+139,32,+7,85,1289,50,28,0.6
Argentina,1353,,42,,279,1032,,30,0.9
Qatar,1325,+250,3,,109,1213,37,460,1
Algeria,1251,+80,130,+25,90,1031,,29,3
Ukraine,1225,+153,32,+5,25,1168,16,28,0.7
Singapore,1189,+75,6,+1,297,886,24,203,1
Croatia,1126,+47,12,+4,119,995,39,274,3
Egypt,1070,+85,71,+5,241,758,,10,0.7
Estonia,1039,+78,13,+1,59,967,20,783,10
Slovenia,977,+43,22,+2,79,876,31,470,11
New Zealand,950,+82,1,,127,822,1,197,0.2
Morocco,919,+128,59,+11,66,794,1,25,2
Iraq,878,+58,56,+2,259,563,,22,1
Hong Kong,862,+17,4,,173,685,8,115,0.5
Lithuania,771,+75,11,+2,7,753,11,283,4
Armenia,770,+34,7,,43,720,30,260,2
Moldova,752,+161,12,+4,29,711,65,186,3
Diamond Princess,712,,11,,619,82,10,,
Bahrain,688,+16,4,,423,261,3,404,2
Hungary,678,+55,32,+6,58,588,17,70,3
Bosnia and Herzegovina,624,+45,21,+4,30,573,4,190,6
Cameroon,555,+46,9,+1,17,529,,21,0.3
Tunisia,553,+58,18,,5,530,26,47,2
Kazakhstan,531,+67,5,+2,36,490,6,28,0.3
Azerbaijan,521,+78,5,,32,484,17,51,0.5
Lebanon,520,+12,17,,54,449,27,76,2
Latvia,509,+16,1,,1,507,3,270,0.5
Bulgaria,503,+18,17,+3,34,452,26,72,2
North Macedonia,483,+53,17,+5,20,446,11,232,8
Kuwait,479,+62,1,+1,93,385,17,112,0.2
Slovakia,471,+21,1,,10,460,3,86,0.2
Andorra,466,+27,17,+1,21,428,12,6031,220
Belarus,440,+89,5,+1,53,382,11,47,0.5
Costa Rica,435,+19,2,,13,420,13,85,0.4
Cyprus,426,+30,11,,33,382,11,353,9
Uruguay,386,,5,+1,86,295,13,111,1
Taiwan,355,+7,5,,50,300,,15,0.2
Réunion,334,+13,,,40,294,4,373,
Albania,333,+29,20,+3,99,214,7,116,7
Jordan,323,+13,5,,74,244,5,32,0.5
Burkina Faso,318,+16,16,,66,236,,15,0.8
Afghanistan,299,+18,7,+1,10,282,,8,0.2
Cuba,288,+19,6,,15,267,11,25,0.5
Oman,277,+25,2,+1,61,214,3,54,0.4
Uzbekistan,266,+39,2,,25,239,8,8,0.06
Honduras,264,+42,15,,3,246,10,27,2
Channel Islands,262,+30,5,+1,13,244,,1507,29
San Marino,251,,32,,26,193,13,7397,943
Ivory Coast,245,+27,1,,25,219,,9,0.04
Vietnam,240,+1,,,90,150,3,2,
Senegal,219,+12,2,+1,72,145,1,13,0.1
Palestine,217,+23,1,,21,195,,43,0.2
Nigeria,214,+4,4,,25,185,2,1,0.02
Malta,213,+11,,,2,211,3,482,
Ghana,205,,5,,31,169,2,7,0.2
Montenegro,201,+27,2,,1,198,4,320,3
Mauritius,196,+10,7,,7,182,1,154,6
Faeroe Islands,181,+2,,,93,88,2,3704,
Sri Lanka,166,+7,5,+1,27,134,5,8,0.2
Georgia,162,+7,1,+1,36,125,6,41,0.3
Venezuela,155,+2,7,,52,96,6,5,0.2
DRC,148,,16,,3,129,,2,0.2
Martinique,145,+2,3,,27,115,22,386,8
Niger,144,+24,8,+3,,136,,6,0.3
Kyrgyzstan,144,+14,1,,9,134,5,22,0.2
Bolivia,139,+7,10,+1,1,128,3,12,0.9
Brunei ,135,+1,1,,66,68,3,309,2
Guadeloupe,134,+4,7,,24,103,14,335,17
Mayotte,134,+6,2,,14,118,3,491,7
Kenya,126,+4,4,,4,118,2,2,0.07
Isle of Man,126,+12,1,,,125,,1482,12
Cambodia,114,,,,50,64,1,7,
Guinea,111,+38,,,5,106,,8,
Trinidad and Tobago,103,+5,6,,1,96,,74,4
Rwanda,102,+13,,,,102,,8,
Gibraltar,98,+3,,,52,46,,2909,
Paraguay,96,+4,3,,12,81,2,13,0.4
Liechtenstein,77,+2,1,+1,,76,,2020,26
Bangladesh,70,+9,8,+2,30,32,1,0.4,0.05
Madagascar,70,,,,,70,6,3,
Monaco,66,+2,1,,3,62,2,1682,25
Aruba,64,+2,,,1,63,,599,
Guatemala,57,+7,2,+1,15,40,1,3,0.1
French Guiana,57,,,,22,35,1,191,
El Salvador,56,+10,3,,2,51,4,9,0.5
Jamaica,53,,3,,7,43,,18,1
Barbados,52,+1,,,,52,,181,
Djibouti,50,+1,,,8,42,,51,
Uganda,48,,,,,48,,1,
Macao,43,+1,,,10,33,,66,
Mali,41,+2,3,,1,37,,2,0.1
Togo,41,+1,3,,17,21,,5,0.4
French Polynesia,40,+1,,,,40,1,142,
Zambia,39,,1,,2,36,,2,0.05
Ethiopia,38,+3,,,4,34,1,0.3,
Cayman Islands,35,+6,1,,1,33,,533,15
Bermuda,35,,,,14,21,,562,
Eritrea,29,+7,,,,29,,8,
Bahamas,24,,3,,,21,1,61,8
Saint Martin,24,+2,2,+1,5,17,6,621,52
Guyana,23,,4,,,19,,29,5
Sint Maarten,23,,4,,6,13,,536,93
Congo,22,,2,,2,18,,4,0.4
Gabon,21,,1,,1,19,,9,0.4
Myanmar,21,+1,1,,,20,,0.4,0.02
Tanzania,20,,1,,3,16,,0.3,0.02
Haiti,20,+2,,,1,19,,2,
Maldives,19,,,,13,6,,35,
Guinea-Bissau,18,+3,,,,18,,9,
Libya,17,,1,,,16,,2,0.1
New Caledonia,17,,,,1,16,,60,
Syria,16,,2,,2,12,,0.9,0.1
Benin,16,,,,2,14,,1,
Equatorial Guinea,16,,,,1,15,,11,
Antigua and Barbuda,15,,,,,15,1,153,
Dominica,14,,,,,14,,194,
Mongolia,14,,,,2,12,,4,
Namibia,14,,,,3,11,,6,
Saint Lucia,14,+1,,,1,13,,76,
Fiji,12,+5,,,,12,,13,
Grenada,12,,,,,12,2,107,
Curaçao,11,,1,,5,5,,67,6
Greenland,11,+1,,,3,8,,194,
Angola,10,+2,2,,2,6,,0.3,0.06
Sudan,10,,2,,2,6,,0.2,0.05
Liberia,10,+3,1,+1,3,6,,2,0.2
Suriname,10,,1,,,9,,17,2
Laos,10,,,,,10,,1,
Mozambique,10,,,,1,9,,0.3,
Seychelles,10,,,,,10,,102,
MS Zaandam,9,,2,,,7,,,
Zimbabwe,9,,1,,,8,,0.6,0.07
Nepal,9,+3,,,1,8,,0.3,
Chad,9,+1,,,,9,,0.5,
Saint Kitts and Nevis,9,,,,,9,,169,
Eswatini,9,,,,,9,,8,
CAR,8,,,,,8,,2,
Cabo Verde,7,+1,1,,,6,,13,2
Vatican City,7,,,,,7,,8739,
St. Vincent Grenadines,7,,,,1,6,,63,
Somalia,7,,,,1,6,,0.4,
Mauritania,6,,1,,2,3,,1,0.2
Montserrat,6,,,,,6,,1202,
St. Barth,6,,,,1,5,,607,
Nicaragua,5,,1,,,4,,0.8,0.2
Bhutan,5,,,,2,3,,6,
Turks and Caicos,5,,,,,5,,129,
Botswana,4,,1,,,3,,2,0.4
Gambia,4,,1,,2,1,,2,0.4
Belize,4,,,,,4,,10,
Malawi,4,+1,,,,4,,0.2,
Sierra Leone,4,+2,,,,4,,0.5,
Anguilla,3,,,,,3,,200,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,,,,,3,,0.3,
Caribbean Netherlands,2,,,,,2,,76,
Falkland Islands,1,,,,,1,,287,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81639,,3326,,76755,1558,331,57,2
Total:,1196944,+80283,64577,+5403,246110,886257,42110,153.6,8.3
